event_id,event,driver_id,driver,predicted_pos,actual_pos,error,chaos_score,race_category,driver_affected
55,2025 R3 Japanese Grand Prix,1,Max Verstappen,1.0,1,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.0,clean,False
80,2025 R12 British Grand Prix,18,Oscar Piastri,1.0,2,1.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,11,Lando Norris,1.0,1,0.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,6,George Russell,1.0,1,0.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,11,Lando Norris,1.0,1,0.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,1,Max Verstappen,1.0,1,0.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,1,Max Verstappen,1.0,4,3.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,11,Lando Norris,1.0,1,0.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,11,Lando Norris,1.0,1,0.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,1,Max Verstappen,1.0,1,0.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,1,Max Verstappen,1.0,1,0.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,6,George Russell,1.0,1,0.0,0.0,clean,False
87,2025 R19 United States Grand Prix,1,Max Verstappen,1.0,1,0.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,11,Lando Norris,1.0,1,0.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,11,Lando Norris,1.0,19,18.0,0.8499999999999999,chaotic,True
55,2025 R3 Japanese Grand Prix,11,Lando Norris,2.0,2,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,6,George Russell,2.0,2,0.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,11,Lando Norris,2.0,2,0.0,0.0,clean,False
80,2025 R12 British Grand Prix,11,Lando Norris,2.0,1,1.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,18,Oscar Piastri,2.0,2,0.0,0.75,chaotic,False
