pos_group,race_category,error
back,chaotic,6.14
back,clean,2.85
back,moderate,4.2727272727272725
front,chaotic,2.1166666666666667
front,clean,0.2916666666666667
front,moderate,0.7962962962962963
midfield,chaotic,3.6666666666666665
midfield,clean,2.388888888888889
midfield,moderate,2.8641975308641974
