pos_group,race_category,error
back,chaotic,4.24
back,clean,2.0
back,moderate,4.235294117647059
front,chaotic,1.4666666666666666
front,clean,0.16666666666666666
front,moderate,0.9285714285714286
midfield,chaotic,3.2888888888888888
midfield,clean,2.0
midfield,moderate,2.6825396825396823
